num_processes,avg_burst_time,std_burst_time,burst_time_cv,min_burst_time,max_burst_time,avg_arrival_gap,total_burst_time,best_algorithm,FCFS_avg_waiting_time,SJF_avg_waiting_time,Priority_avg_waiting_time,RoundRobin_avg_waiting_time
25,5.6,4.65,0.83,1,17,1.33,140,SJF,48.88,30.56,49.92,76.6
10,4.6,3.84,0.834,2,13,2.22,46,SJF,13.8,12.9,18.0,23.4
20,6.9,5.52,0.801,2,20,1.74,138,SJF,49.7,26.85,41.15,73.95
26,5.19,4.22,0.813,2,16,3.24,135,SJF,21.04,15.38,21.62,40.65
19,6.0,4.69,0.782,1,16,1.5,114,SJF,40.58,26.74,44.11,63.58
18,6.11,5.43,0.889,2,18,1.53,110,SJF,54.5,28.89,42.94,64.39
6,2.83,0.98,0.347,2,4,1.4,17,SJF,3.33,3.0,4.0,13.5
24,5.54,4.24,0.766,1,13,4.91,133,SJF,9.83,6.71,11.92,32.08
24,5.54,4.72,0.851,1,16,5.61,133,SJF,10.38,6.54,8.67,26.46
13,7.46,5.27,0.706,3,15,1.67,97,SJF,36.46,19.31,30.08,51.23
5,4.4,1.52,0.345,3,7,0.75,22,SJF,6.4,5.6,6.8,16.0
9,3.44,2.55,0.742,2,10,1.75,31,SJF,12.89,6.56,12.67,20.56
25,7.28,5.08,0.698,2,15,1.88,182,SJF,63.12,35.72,50.56,89.48
7,6.43,3.91,0.608,2,12,1.67,45,SJF,15.0,9.86,14.86,32.57
14,7.14,4.93,0.69,2,17,2.92,100,SJF,27.86,18.43,36.21,48.29
29,6.76,4.98,0.737,2,16,2.86,196,SJF,64.86,39.14,78.66,106.14
18,4.67,3.27,0.701,2,13,2.53,84,SJF,19.83,10.67,18.5,45.11
12,4.08,3.6,0.883,1,15,2.18,49,SJF,13.67,12.0,14.0,23.0
6,6.33,5.28,0.834,2,13,2.0,38,SJF,10.67,8.17,16.83,15.83
27,5.74,4.62,0.805,1,17,1.88,155,SJF,59.41,31.15,62.15,88.22
28,4.43,3.65,0.823,1,14,1.33,124,SJF,43.57,24.93,33.82,82.36
9,6.89,5.23,0.759,1,16,2.5,62,SJF,22.56,14.89,22.89,37.89
5,4.6,3.13,0.681,2,10,1.5,23,SJF,6.2,3.4,3.6,12.2
9,3.78,3.6,0.952,1,13,1.75,34,SJF,5.33,3.67,6.33,14.22
30,5.83,5.19,0.889,1,17,2.48,175,SJF,53.9,21.1,53.13,75.67
27,6.04,5.25,0.87,1,17,1.5,163,SJF,62.15,30.11,50.44,94.7
24,5.33,4.08,0.765,2,16,1.52,128,SJF,43.29,21.79,45.04,76.17
28,4.46,3.37,0.755,1,13,1.56,125,SJF,32.21,18.04,33.43,70.89
7,3.71,1.25,0.337,2,6,2.0,26,SJF,3.71,3.43,4.14,13.57
27,6.78,4.93,0.728,1,16,4.15,183,SJF,40.41,21.85,38.85,86.15
20,5.1,4.4,0.863,2,19,2.53,102,SJF,10.45,7.3,12.7,30.95
6,3.5,1.05,0.3,2,5,1.2,21,FCFS,6.0,5.33,6.33,17.0
23,6.83,5.84,0.855,1,18,1.36,157,SJF,44.35,29.17,46.39,75.04
10,6.3,4.76,0.756,1,16,1.56,63,SJF,14.2,9.4,12.6,25.5
6,6.83,6.08,0.89,2,17,3.2,41,FCFS,3.33,3.33,6.17,12.17
10,4.4,4.2,0.953,1,14,1.0,44,SJF,20.1,14.8,20.3,24.5
12,7.58,5.57,0.734,2,17,4.91,91,SJF,22.92,13.42,21.67,40.33
18,8.28,5.92,0.715,2,18,4.71,149,SJF,36.72,20.28,27.44,60.11
14,8.5,5.24,0.617,2,18,1.77,119,SJF,36.71,28.0,40.57,67.71
21,6.67,5.76,0.865,1,16,1.05,140,SJF,54.62,28.57,59.19,77.9
28,5.82,4.99,0.857,1,17,1.7,163,SJF,43.96,27.82,49.71,81.36
17,6.06,3.72,0.613,1,14,1.75,103,SJF,36.65,23.82,29.82,65.29
18,6.56,5.44,0.829,1,16,1.88,118,SJF,51.67,23.39,44.11,74.39
8,3.38,2.13,0.632,2,8,3.57,27,SJF,3.0,2.25,3.0,9.88
13,4.85,3.0,0.618,3,12,1.42,63,SJF,20.15,11.77,15.69,48.62
19,8.26,6.31,0.764,1,17,1.11,157,SJF,65.42,39.21,62.63,95.0
9,5.78,3.87,0.669,2,14,4.5,52,SJF,11.67,7.89,12.11,22.22
19,4.16,3.34,0.803,1,14,1.61,79,SJF,23.68,14.32,22.0,48.58
18,5.83,4.19,0.718,2,15,4.41,105,SJF,26.94,14.83,20.78,55.0
