num_processes,avg_burst_time,std_burst_time,burst_time_cv,min_burst_time,max_burst_time,avg_arrival_gap,total_burst_time,best_algorithm,FCFS_avg_waiting_time,SJF_avg_waiting_time,Priority_avg_waiting_time,RoundRobin_avg_waiting_time
20,5.4,3.99,0.739,2,14,2.0,108,SJF,31.3,20.75,27.1,54.2
14,5.21,4.32,0.828,2,16,2.77,73,SJF,15.71,8.71,21.79,25.36
25,7.12,5.21,0.732,2,16,2.71,178,SJF,62.64,30.32,59.36,91.48
9,5.56,4.48,0.806,1,13,2.12,50,SJF,9.44,5.11,11.0,17.11
17,4.71,4.4,0.935,1,17,1.56,80,SJF,28.12,23.0,32.35,52.35
25,5.6,4.23,0.756,1,15,1.04,140,SJF,59.0,38.64,55.56,87.2
21,5.43,4.27,0.787,2,15,2.9,114,SJF,38.57,18.81,29.29,56.48
16,6.44,5.8,0.9,1,16,3.6,103,SJF,25.0,11.06,21.38,37.19
19,7.11,5.44,0.765,1,16,4.33,135,SJF,28.58,16.26,28.32,50.74
21,5.86,4.3,0.735,2,15,3.3,123,SJF,29.19,15.95,29.76,55.0
17,4.82,3.8,0.787,1,15,2.12,82,SJF,21.82,16.18,24.12,44.0
21,7.62,5.27,0.691,2,18,2.85,160,SJF,50.33,33.95,54.81,81.43
29,7.76,5.53,0.713,2,19,3.68,225,SJF,65.28,33.86,60.83,100.59
7,3.14,0.9,0.286,2,4,0.83,22,SJF,6.29,5.29,5.86,15.57
14,6.64,5.29,0.796,1,16,1.54,93,SJF,33.71,23.71,42.36,52.57
19,4.84,4.22,0.871,2,17,1.83,92,SJF,34.21,24.95,35.21,57.26
28,5.18,4.41,0.851,1,19,2.04,145,SJF,54.57,29.89,52.68,80.21
30,7.03,5.52,0.785,1,19,3.79,211,SJF,45.33,26.77,55.1,86.27
12,2.92,1.08,0.372,1,5,3.45,35,SJF,2.42,2.17,2.25,23.67
19,5.47,4.79,0.875,1,16,2.17,104,SJF,33.84,17.47,32.79,47.95
17,6.82,5.19,0.76,1,17,2.38,116,SJF,43.88,22.65,40.35,73.18
22,6.73,4.5,0.668,2,15,1.86,148,SJF,51.09,30.73,50.09,90.18
9,7.44,4.77,0.641,2,14,2.88,67,FCFS,12.89,12.0,15.89,28.0
10,4.7,3.68,0.784,2,14,1.89,47,SJF,12.4,6.9,13.6,27.0
11,6.55,5.48,0.838,2,15,3.8,72,SJF,17.45,10.45,11.82,26.0
25,4.72,3.52,0.745,1,13,1.75,118,SJF,41.12,22.24,30.28,78.8
23,4.65,4.23,0.909,2,15,2.18,107,SJF,24.87,16.35,21.0,47.43
18,6.61,4.74,0.717,1,14,1.88,119,SJF,43.17,22.44,44.11,72.44
8,5.88,4.29,0.73,2,13,3.14,47,SJF,14.12,10.38,12.0,21.62
9,6.56,4.33,0.661,2,12,2.75,59,SJF,24.44,15.33,24.33,36.44
29,5.14,4.43,0.862,1,18,1.29,149,SJF,39.38,24.83,36.52,66.45
17,5.65,4.05,0.716,1,15,5.56,96,SJF,7.18,5.18,8.18,26.65
19,5.0,4.93,0.987,1,17,2.83,95,SJF,15.26,10.21,19.68,35.16
5,6.0,5.61,0.935,2,15,1.0,30,SJF,10.4,7.4,7.8,13.6
6,6.5,4.28,0.658,3,12,2.4,39,FCFS,6.33,6.33,7.83,18.83
20,7.35,5.28,0.719,1,18,3.16,147,SJF,33.05,19.8,33.2,57.85
25,6.72,4.73,0.704,1,15,1.5,168,SJF,63.2,35.84,52.88,97.84
13,4.23,2.49,0.588,2,12,2.17,55,FCFS,13.85,12.15,13.92,33.0
21,4.81,3.79,0.788,2,14,2.95,101,SJF,23.1,12.38,29.24,56.14
22,6.0,4.69,0.782,1,18,4.86,132,SJF,17.73,10.5,21.73,42.18
23,5.65,4.8,0.85,2,17,2.68,130,SJF,21.57,13.65,26.09,43.48
27,6.44,4.49,0.697,1,19,2.92,174,SJF,52.19,28.0,53.48,96.33
30,5.63,5.2,0.922,1,18,1.9,169,SJF,56.53,23.6,45.17,84.03
30,5.0,3.94,0.788,1,15,1.45,150,SJF,57.07,28.67,49.73,105.97
17,3.12,1.45,0.466,1,7,1.5,53,SJF,15.24,11.06,14.18,40.94
8,6.25,5.39,0.863,1,15,2.29,50,SJF,16.0,11.12,13.62,26.5
14,5.07,3.85,0.76,1,15,1.54,71,SJF,16.79,13.36,21.43,35.36
25,5.28,4.53,0.858,1,18,3.08,132,SJF,28.68,12.24,22.76,50.8
21,5.76,5.43,0.942,1,18,1.6,121,SJF,34.86,20.86,36.95,57.0
8,6.88,5.19,0.756,1,14,1.29,55,SJF,20.0,10.38,17.25,32.12
29,5.66,4.63,0.819,1,16,2.82,164,SJF,46.0,23.52,44.59,73.48
12,5.67,3.92,0.691,2,15,1.55,68,SJF,21.0,13.5,21.92,40.42
30,5.87,4.62,0.788,1,16,1.76,176,SJF,64.63,30.57,59.67,105.5
29,4.72,4.64,0.981,1,18,2.61,137,SJF,34.52,15.69,34.28,63.45
12,4.25,4.41,1.038,1,16,3.36,51,SJF,10.92,6.67,9.33,19.0
9,5.0,4.61,0.922,1,16,2.5,45,SJF,12.33,5.44,5.44,22.44
19,4.74,3.25,0.685,2,12,3.83,90,SJF,13.16,6.79,8.0,35.63
12,5.58,5.23,0.937,2,17,1.55,67,SJF,19.42,10.42,22.17,29.42
5,4.6,3.71,0.808,2,11,3.0,23,FCFS,4.8,4.4,7.0,9.2
12,4.83,4.49,0.929,1,16,2.0,58,SJF,11.92,6.58,12.75,26.0
19,7.53,4.74,0.63,1,16,2.83,143,SJF,46.26,28.26,48.16,74.16
8,8.75,5.55,0.634,2,15,2.86,70,SJF,26.88,16.75,17.25,45.38
16,7.19,6.24,0.868,2,20,2.47,115,SJF,43.44,18.38,45.31,55.5
26,6.38,4.28,0.671,2,16,1.28,166,SJF,67.08,40.35,64.08,110.19
19,4.74,3.97,0.838,1,15,3.78,90,SJF,15.53,9.21,19.79,43.68
9,4.89,3.72,0.762,2,13,4.88,44,SJF,7.0,5.0,8.33,20.89
14,4.0,3.49,0.872,1,12,2.08,56,SJF,16.79,6.64,12.5,30.07
29,5.93,4.9,0.826,1,16,1.39,172,SJF,49.69,32.79,53.24,82.79
24,5.04,3.72,0.739,2,14,1.43,121,SJF,33.75,21.0,32.17,62.92
20,4.85,4.33,0.893,1,14,1.47,97,SJF,29.75,14.05,27.2,52.85
7,5.71,5.12,0.896,1,14,1.17,40,SJF,11.29,5.0,12.29,17.86
19,6.37,5.29,0.831,1,18,3.33,121,SJF,29.89,16.53,30.68,51.95
28,6.21,5.01,0.806,1,19,1.63,174,SJF,58.64,34.46,68.07,100.39
26,6.04,4.87,0.807,2,16,1.24,157,SJF,46.5,32.62,51.85,82.35
29,5.69,4.61,0.811,1,15,1.79,165,SJF,36.66,26.72,53.38,72.55
27,6.33,5.94,0.937,1,20,1.04,171,SJF,82.48,31.85,70.7,96.96
19,5.47,4.03,0.737,2,14,4.33,104,SJF,21.0,12.47,23.58,43.47
12,6.5,4.81,0.741,2,18,3.73,78,SJF,23.25,15.5,20.08,43.08
18,6.67,4.69,0.704,2,15,2.12,120,SJF,43.39,24.83,30.83,74.5
16,4.19,2.86,0.682,2,13,2.33,67,SJF,12.44,9.38,13.38,39.56
9,6.11,4.26,0.696,3,13,1.88,55,SJF,11.11,7.78,13.89,23.22
6,5.17,3.66,0.708,2,12,3.6,31,FCFS,4.33,4.33,4.33,9.33
25,5.48,4.81,0.879,1,17,1.42,137,SJF,48.52,22.44,45.36,71.76
19,4.58,3.49,0.761,1,12,2.83,87,SJF,26.16,12.05,23.0,62.95
11,3.82,2.56,0.671,1,11,2.2,42,SJF,10.09,4.73,11.27,20.45
18,4.5,3.07,0.683,2,13,1.82,81,SJF,18.28,12.44,17.22,41.83
17,5.65,4.91,0.87,2,16,1.31,96,SJF,36.88,27.59,41.94,52.0
10,6.4,5.15,0.804,3,16,5.33,64,FCFS,4.7,4.7,6.2,15.4
11,4.27,3.66,0.857,2,15,1.6,47,SJF,8.27,7.55,10.82,20.45
22,5.64,4.86,0.861,1,17,2.95,124,SJF,42.95,18.05,34.41,59.82
8,4.75,4.27,0.898,2,15,1.57,38,SJF,13.62,5.62,8.0,19.5
25,5.72,4.38,0.766,2,17,1.21,143,SJF,45.36,27.08,43.8,75.76
15,4.27,3.43,0.804,2,15,1.21,64,SJF,22.4,11.67,14.53,38.07
17,5.53,4.65,0.841,1,18,1.5,94,SJF,34.06,16.65,36.41,48.88
19,5.47,4.5,0.822,1,14,4.22,104,FCFS,9.89,7.37,17.16,28.79
7,6.86,5.67,0.827,2,17,1.5,48,SJF,9.29,7.0,11.0,17.86
15,6.13,4.37,0.713,2,17,2.36,92,SJF,25.87,16.33,26.93,48.67
12,5.92,4.4,0.744,1,13,2.09,71,SJF,17.42,12.92,21.75,37.42
13,6.62,5.38,0.813,2,16,1.83,86,SJF,17.08,12.54,18.62,37.85
25,4.12,3.37,0.818,1,13,2.04,103,SJF,23.76,10.92,25.6,53.32
12,5.17,3.9,0.756,2,14,1.55,62,SJF,21.83,10.92,17.58,31.0
19,5.16,5.23,1.014,1,20,1.56,98,SJF,23.89,13.79,28.05,38.68
11,4.45,2.91,0.653,1,11,1.6,49,SJF,14.0,8.45,14.64,31.55
25,5.72,4.19,0.732,1,14,4.04,143,SJF,27.8,15.24,36.6,59.12
30,5.63,4.69,0.832,2,17,1.41,169,SJF,64.2,29.9,71.43,89.57
9,5.78,4.82,0.834,1,14,2.38,52,SJF,15.33,7.33,21.78,23.0
8,9.25,6.18,0.668,1,18,1.57,74,SJF,26.62,21.62,29.12,40.12
6,4.67,4.63,0.993,2,14,2.2,28,FCFS,8.33,8.33,8.33,11.17
20,6.55,4.81,0.734,1,17,4.79,131,SJF,22.0,12.65,21.45,50.6
15,6.4,4.88,0.763,1,16,1.36,96,SJF,33.87,18.07,40.93,52.87
24,8.29,5.78,0.697,2,18,2.35,199,SJF,77.83,38.25,75.0,115.0
15,6.27,5.46,0.871,2,15,1.57,94,SJF,34.33,14.87,29.47,42.13
27,5.26,3.76,0.715,1,13,2.58,142,SJF,31.15,16.15,30.22,62.67
27,5.52,4.64,0.842,1,17,2.27,149,SJF,36.96,22.04,38.81,62.74
26,4.92,4.12,0.836,2,17,3.88,128,SJF,19.69,10.58,20.81,62.5
9,4.22,4.21,0.996,1,15,5.25,38,FCFS,3.33,3.33,3.56,11.44
28,4.25,4.1,0.964,1,17,1.59,119,SJF,25.25,13.0,26.36,55.82
23,5.96,4.7,0.788,2,17,2.82,137,SJF,36.35,17.87,38.17,58.57
26,4.81,3.66,0.76,2,14,3.88,125,SJF,30.15,14.27,28.58,69.5
24,5.21,4.08,0.782,1,15,3.26,125,SJF,29.46,16.04,39.79,46.92
24,5.96,5.03,0.845,2,20,1.52,143,SJF,51.58,26.96,48.17,75.67
11,4.55,4.32,0.951,1,14,1.4,50,SJF,13.55,6.45,7.64,23.18
21,7.0,5.51,0.788,2,16,1.85,147,SJF,43.86,27.71,38.19,65.67
9,5.78,5.19,0.898,2,17,1.38,52,SJF,17.89,7.33,12.0,21.78
13,5.08,4.61,0.908,1,16,3.0,66,SJF,10.62,5.92,9.38,19.15
19,6.58,4.57,0.695,2,15,5.28,125,SJF,32.11,19.21,30.95,59.26
15,6.93,5.36,0.774,2,17,1.57,104,SJF,44.53,21.33,41.67,61.2
27,4.81,4.43,0.92,1,16,1.96,130,SJF,33.78,17.0,45.22,65.15
26,5.0,4.25,0.85,1,16,1.16,130,SJF,37.81,24.69,44.38,79.42
30,4.57,3.61,0.79,1,15,1.59,137,SJF,50.4,22.63,57.0,92.07
6,5.17,4.49,0.869,2,14,1.4,31,SJF,8.5,4.67,4.67,14.67
29,5.14,4.74,0.923,1,20,1.39,149,SJF,60.9,26.69,58.21,80.41
12,5.33,3.28,0.616,2,14,4.36,64,FCFS,8.42,7.5,9.0,21.75
18,5.33,3.87,0.725,1,16,1.35,96,SJF,38.0,19.56,39.39,63.28
10,4.1,2.6,0.634,2,11,2.67,41,SJF,7.2,6.9,8.7,21.4
15,5.73,4.56,0.795,2,15,3.21,86,SJF,16.4,11.4,20.27,30.87
30,5.43,3.94,0.724,1,14,3.66,163,SJF,23.47,11.77,24.23,56.87
10,4.7,4.42,0.941,2,17,3.56,47,SJF,10.1,9.4,11.0,23.5
19,6.32,4.81,0.761,2,15,3.72,120,SJF,23.58,14.84,30.16,49.47
10,5.5,5.46,0.993,1,19,1.78,55,SJF,11.1,6.2,13.1,19.8
26,5.12,3.65,0.713,2,14,1.24,133,SJF,44.88,27.27,45.46,74.88
5,6.6,4.83,0.731,3,14,2.5,33,SJF,5.6,3.6,5.6,11.6
7,3.43,3.1,0.905,1,10,1.67,24,FCFS,1.29,1.29,3.71,8.14
9,6.89,5.09,0.738,2,16,2.0,62,SJF,20.33,16.22,27.67,35.56
27,5.63,4.16,0.739,2,16,2.69,152,SJF,46.04,23.48,43.85,77.89
19,6.53,5.26,0.807,1,16,1.44,124,SJF,48.47,27.68,55.05,72.16
9,3.33,1.41,0.424,2,6,0.62,30,SJF,10.0,9.33,10.67,23.44
27,4.67,3.55,0.761,2,14,2.65,126,SJF,17.07,12.59,17.89,55.56
5,5.0,4.53,0.906,2,13,2.0,25,FCFS,1.8,1.8,4.0,9.8
12,5.83,4.55,0.78,2,15,6.27,70,Priority,12.17,7.83,7.25,23.5
17,5.59,3.92,0.702,2,13,2.44,95,SJF,35.18,17.12,28.71,53.88
27,4.81,3.64,0.756,1,14,1.31,130,SJF,52.33,34.78,50.11,95.07
18,4.5,3.09,0.687,1,12,0.94,81,SJF,31.33,23.33,31.83,64.44
5,4.8,5.76,1.2,1,15,10.25,24,FCFS,2.4,2.4,2.4,4.0
17,4.65,4.08,0.877,1,14,2.06,79,SJF,13.24,11.82,19.0,37.41
23,6.65,5.51,0.828,1,18,2.09,153,SJF,48.26,23.78,51.91,77.43
25,6.24,5.41,0.867,2,18,1.79,156,SJF,47.84,24.0,36.88,68.88
28,5.21,3.76,0.72,1,16,2.3,146,SJF,44.43,23.93,37.25,80.46
27,4.26,3.72,0.873,2,18,1.23,115,SJF,37.07,22.07,29.48,71.44
16,7.62,5.77,0.757,2,19,2.27,122,SJF,42.75,23.62,39.25,61.0
8,8.12,5.14,0.633,1,15,1.0,65,SJF,20.25,15.5,25.88,38.38
10,4.6,2.84,0.617,2,11,1.22,46,SJF,12.0,8.8,12.8,26.0
11,8.09,6.64,0.821,2,18,2.3,89,SJF,32.0,19.09,36.45,43.27
18,5.72,4.62,0.808,1,14,1.65,103,SJF,33.67,20.44,36.72,53.67
23,6.04,4.41,0.729,1,15,1.45,139,SJF,50.65,29.61,49.13,80.09
6,6.67,5.28,0.792,3,16,1.6,40,SJF,12.33,6.0,15.17,20.17
25,6.2,5.36,0.865,1,20,1.5,155,SJF,53.24,28.6,55.32,82.2
17,4.71,3.6,0.765,2,14,2.69,80,SJF,14.12,9.88,15.76,31.53
27,6.56,4.66,0.711,1,15,3.85,177,SJF,37.22,20.26,32.04,77.52
26,5.31,3.78,0.713,2,14,3.0,138,SJF,32.85,17.73,36.54,63.0
26,5.88,4.68,0.795,1,17,2.84,153,SJF,36.77,18.58,40.23,67.73
19,6.32,4.45,0.704,2,14,3.61,120,SJF,28.05,21.68,40.05,61.11
29,4.83,3.58,0.741,1,16,4.18,140,FCFS,21.79,11.72,20.31,73.03
5,6.2,8.29,1.337,2,21,1.25,31,SJF,7.0,3.0,11.0,7.2
20,4.9,4.99,1.019,1,19,1.26,98,SJF,34.1,14.0,36.35,49.5
26,5.5,3.18,0.578,1,13,2.16,143,SJF,37.77,24.35,49.96,78.35
15,5.2,3.82,0.735,2,14,1.93,78,SJF,36.0,18.73,28.33,58.67
5,3.6,1.14,0.317,2,5,2.0,18,SJF,3.2,2.6,3.0,11.0
29,4.28,3.14,0.734,1,15,1.5,124,SJF,44.07,22.52,41.34,82.69
25,5.16,3.95,0.766,1,15,2.12,129,SJF,37.0,23.16,29.48,64.04
30,5.33,5.05,0.946,1,16,1.97,160,SJF,50.23,21.1,33.43,67.83
7,10.14,5.01,0.494,3,16,2.67,71,SJF,20.43,17.29,27.29,38.0
10,7.1,6.06,0.854,1,15,1.33,71,SJF,28.5,17.7,23.9,34.4
12,6.83,4.32,0.633,2,14,5.18,82,SJF,9.67,8.08,8.75,31.92
29,7.03,4.52,0.643,1,17,1.39,204,SJF,60.59,48.31,75.79,111.34
17,3.94,3.75,0.951,1,14,2.0,67,SJF,17.12,7.59,18.35,28.12
25,5.96,4.86,0.816,1,15,2.67,149,SJF,43.88,22.76,41.4,76.8
6,6.83,6.18,0.904,2,17,2.8,41,SJF,15.83,8.0,14.5,18.33
30,5.93,4.66,0.785,1,18,1.69,178,SJF,58.33,36.63,62.8,98.1
19,6.32,5.09,0.806,2,16,2.83,120,SJF,37.79,18.21,29.63,60.26
13,5.85,4.98,0.852,1,15,2.0,76,SJF,21.62,12.54,20.85,35.15
26,4.81,3.94,0.819,1,15,3.08,125,SJF,16.62,8.46,16.15,48.85
15,5.87,4.41,0.751,2,17,4.57,88,SJF,5.73,3.6,5.73,14.8
23,7.43,5.26,0.708,1,19,2.91,171,SJF,52.74,28.22,46.91,90.0
19,4.84,5.05,1.042,1,18,2.28,92,SJF,17.21,7.16,14.74,35.11
30,6.67,5.23,0.784,2,17,1.38,200,SJF,74.87,38.47,84.4,108.03
28,4.86,4.34,0.893,1,15,3.78,136,SJF,11.68,8.29,13.96,39.07
20,7.4,4.89,0.661,2,15,1.32,148,SJF,58.2,37.25,59.15,84.8
22,5.18,4.29,0.829,1,17,4.57,114,SJF,18.91,10.55,17.77,41.41
13,5.46,4.1,0.75,3,16,2.83,71,SJF,13.46,8.69,20.62,32.08
19,5.68,4.53,0.798,2,17,4.11,108,SJF,31.37,16.32,31.74,43.58
22,6.55,4.64,0.708,1,15,1.52,144,SJF,43.27,26.05,51.77,80.73
15,7.4,6.34,0.857,2,19,1.93,111,SJF,41.53,25.67,51.93,53.07
16,4.94,4.09,0.828,1,13,1.73,79,SJF,22.75,15.62,25.88,45.88
14,4.93,4.43,0.898,1,16,1.23,69,SJF,28.0,11.5,26.07,43.93
26,5.58,4.49,0.805,2,17,2.36,145,SJF,45.0,22.58,40.27,65.58
24,4.96,3.54,0.715,1,11,6.57,119,SJF,4.25,3.75,4.58,31.88
29,6.1,5.0,0.818,1,17,4.46,177,SJF,30.17,15.24,23.17,55.48
5,6.4,5.64,0.881,1,15,2.5,32,SJF,6.6,3.8,3.8,10.6
11,5.91,4.66,0.788,2,14,1.3,65,SJF,22.45,18.64,28.09,34.45
10,5.5,3.89,0.708,1,12,2.56,55,SJF,13.6,8.6,11.8,25.2
26,4.96,4.27,0.86,1,17,1.44,129,SJF,37.23,31.77,48.27,75.15
6,5.0,5.97,1.193,1,17,1.2,30,SJF,10.67,3.5,10.17,12.33
14,7.0,4.44,0.634,1,14,1.31,98,SJF,42.86,23.29,46.36,61.0
25,6.36,4.85,0.762,1,18,3.58,159,SJF,43.08,22.8,41.92,77.96
13,4.46,3.36,0.752,1,12,1.42,58,SJF,17.46,9.08,12.62,33.08
22,6.73,4.81,0.715,1,14,4.81,148,FCFS,25.82,15.95,23.36,59.27
9,3.11,0.93,0.298,2,5,1.5,28,FCFS,8.89,7.67,8.78,24.0
21,5.71,4.06,0.711,2,15,2.3,120,SJF,28.1,17.0,28.57,59.9
11,2.64,1.21,0.457,1,5,2.2,29,SJF,5.09,3.64,4.45,18.27
20,4.7,4.29,0.913,1,16,1.74,94,SJF,36.8,14.3,29.1,57.45
12,3.5,2.94,0.84,1,12,7.55,42,SJF,0.75,0.58,0.92,5.17
19,5.26,4.51,0.856,1,16,2.06,100,SJF,28.21,15.0,29.53,47.58
10,5.7,5.21,0.914,2,16,2.22,57,SJF,23.8,10.1,17.8,30.1
15,6.13,4.88,0.796,2,16,2.79,92,SJF,20.6,12.2,24.53,43.13
11,5.18,3.6,0.695,1,13,2.0,57,SJF,17.27,13.36,15.45,33.64
11,8.45,4.82,0.571,2,16,1.6,93,SJF,34.73,24.82,36.27,60.91
27,4.7,3.79,0.806,1,16,2.65,127,SJF,27.56,14.78,29.07,65.22
9,5.56,3.75,0.674,1,11,0.75,50,SJF,20.89,11.33,20.11,31.56
13,7.15,5.89,0.823,1,18,2.67,93,SJF,27.54,17.15,33.62,39.62
25,4.68,3.75,0.801,1,16,1.5,117,SJF,42.8,21.36,46.48,81.52
28,7.54,5.35,0.71,1,16,2.22,211,SJF,72.96,39.43,66.96,110.89
5,6.0,4.3,0.717,2,12,2.5,30,SJF,9.8,7.6,7.6,15.2
23,6.91,5.26,0.76,1,18,2.05,159,SJF,49.26,29.43,54.26,85.35
5,6.0,4.3,0.717,2,11,2.25,30,SJF,5.4,4.8,5.4,13.8
21,6.05,4.79,0.792,1,18,2.6,127,SJF,37.67,22.38,38.81,61.48
27,4.7,3.52,0.748,1,15,1.58,127,SJF,49.78,24.63,48.74,90.44
21,8.43,5.51,0.654,1,16,3.85,177,SJF,46.67,31.95,49.0,87.95
25,4.88,3.98,0.816,1,15,3.54,122,SJF,15.28,8.88,14.52,48.44
10,3.7,1.95,0.526,2,9,2.22,37,SJF,5.6,3.6,5.0,18.6
19,5.47,4.57,0.836,2,15,3.11,104,SJF,22.74,12.32,21.47,43.84
24,5.92,5.23,0.884,2,18,3.65,142,SJF,29.42,13.33,28.04,48.62
8,6.88,5.44,0.791,1,15,1.86,55,SJF,13.0,9.12,14.0,28.38
26,4.92,4.44,0.903,1,15,1.68,128,SJF,48.46,23.19,47.23,79.19
13,5.62,4.74,0.843,1,15,2.42,73,SJF,16.62,13.69,19.31,29.54
14,5.57,5.33,0.957,1,18,5.15,78,FCFS,6.29,5.57,6.79,18.93
14,4.5,3.2,0.712,1,12,2.23,63,SJF,21.64,14.14,21.07,41.71
18,6.61,5.92,0.896,1,18,2.41,119,SJF,46.61,24.83,45.44,61.22
29,4.66,3.95,0.848,1,17,5.96,135,FCFS,3.34,2.93,3.38,11.93
23,7.35,4.98,0.678,2,16,1.91,169,SJF,68.74,38.26,72.26,98.78
18,6.83,5.25,0.768,1,16,1.18,123,SJF,49.67,25.83,48.11,78.83
9,5.89,5.82,0.988,2,16,2.12,53,SJF,19.33,7.11,15.56,21.89
26,5.92,4.37,0.738,2,16,2.92,154,SJF,32.19,16.58,44.38,64.08
14,5.64,5.17,0.916,1,17,3.0,79,SJF,25.57,10.79,27.57,38.86
28,6.68,4.77,0.714,1,15,1.52,187,SJF,56.93,38.21,63.14,104.96
19,4.42,3.39,0.766,1,14,1.89,84,SJF,20.26,12.79,19.11,47.21
7,5.57,5.47,0.982,1,14,2.17,39,SJF,3.86,3.57,3.86,10.86
12,4.33,4.14,0.956,1,14,1.27,52,SJF,15.92,7.83,17.5,27.33
17,6.24,4.76,0.764,2,16,2.25,106,SJF,21.35,15.0,21.71,42.71
7,5.0,4.08,0.816,2,14,2.33,35,SJF,8.57,4.0,8.0,17.57
18,5.83,4.31,0.74,2,15,6.18,105,SJF,5.22,3.11,6.17,17.06
11,4.55,3.72,0.819,2,14,4.4,50,SJF,2.73,1.82,1.82,9.36
7,4.57,3.82,0.836,1,11,3.67,32,FCFS,3.43,3.57,3.29,12.14
27,6.26,4.82,0.771,1,17,1.65,169,SJF,57.93,34.74,54.07,103.0
9,3.11,2.42,0.778,1,9,1.62,28,SJF,5.78,5.44,6.56,14.44
21,6.43,4.83,0.752,1,15,2.45,135,SJF,44.38,22.05,47.71,73.29
17,6.71,5.41,0.806,1,16,0.94,114,SJF,43.24,23.35,44.47,64.88
5,3.4,2.3,0.677,1,7,2.0,17,SJF,3.6,3.4,3.6,8.6
14,6.43,5.43,0.845,1,17,0.69,90,SJF,44.07,21.5,36.07,60.21
24,6.25,5.1,0.816,1,18,2.09,150,SJF,47.38,21.67,40.42,75.67
6,3.17,0.75,0.238,2,4,3.2,19,SJF,1.5,1.33,1.33,7.17
14,7.36,5.84,0.794,2,17,1.46,103,SJF,40.29,21.93,39.93,54.86
13,8.77,5.86,0.668,2,17,2.25,114,SJF,44.31,24.15,36.0,62.54
19,4.84,4.02,0.83,1,15,1.33,92,SJF,46.11,24.68,37.84,71.16
11,8.18,6.51,0.796,1,18,1.8,90,SJF,29.55,15.73,23.55,43.45
22,7.18,5.42,0.755,1,15,1.33,158,SJF,68.95,34.86,62.27,93.55
27,6.63,5.58,0.841,1,17,2.23,179,SJF,59.0,29.19,57.96,87.63
17,6.06,4.63,0.764,1,16,3.75,103,SJF,13.65,7.59,13.41,35.35
13,3.62,3.01,0.834,1,13,0.83,47,SJF,20.77,10.31,19.77,29.69
7,8.29,6.82,0.824,2,18,1.83,58,SJF,10.29,7.57,14.0,23.0
25,4.52,3.74,0.828,1,14,1.21,113,SJF,41.0,20.88,41.28,71.28
30,4.9,4.25,0.866,1,16,1.52,147,SJF,56.97,26.53,49.43,94.9
28,4.71,4.15,0.881,1,16,1.0,132,SJF,45.86,27.14,53.75,84.18
28,5.57,4.13,0.742,2,15,1.7,156,SJF,39.46,24.43,42.0,72.79
20,4.9,3.75,0.766,1,13,1.53,98,SJF,25.25,14.55,35.35,54.05
26,6.15,4.87,0.792,2,18,3.32,160,SJF,40.73,19.04,34.04,73.31
9,7.44,4.64,0.623,4,17,1.38,67,SJF,22.78,18.44,23.11,34.78
20,5.5,4.89,0.89,1,19,1.89,110,SJF,43.4,18.8,41.1,63.95
15,5.13,4.53,0.883,2,17,1.86,77,SJF,24.93,13.0,25.87,36.8
10,6.1,4.68,0.767,2,14,2.22,61,SJF,19.7,11.8,20.9,30.2
13,7.46,6.37,0.854,2,21,1.75,97,SJF,23.15,13.62,43.38,40.92
28,5.89,4.74,0.804,1,21,2.07,165,SJF,36.96,22.04,50.86,72.75
6,4.5,4.28,0.951,1,13,1.8,27,FCFS,9.5,9.5,9.67,16.0
23,3.96,2.64,0.666,2,13,2.86,91,Priority,15.87,10.83,12.87,46.48
16,5.75,4.16,0.723,2,15,1.07,92,SJF,43.12,24.31,42.56,62.12
7,5.71,5.53,0.968,2,16,2.5,40,SJF,10.71,4.71,8.43,11.71
25,5.0,3.39,0.678,2,12,5.21,125,FCFS,9.24,6.04,8.04,34.8
24,5.17,4.47,0.865,1,17,1.87,124,SJF,37.08,16.96,40.62,51.0
18,6.39,5.78,0.905,2,21,2.24,115,SJF,29.11,15.22,33.94,42.72
22,5.91,4.31,0.729,1,14,5.05,130,FCFS,7.73,5.64,7.23,35.41
6,5.0,3.46,0.693,3,12,4.2,30,FCFS,4.67,4.5,4.67,11.17
23,4.43,3.81,0.86,1,15,1.73,102,SJF,36.52,16.61,31.26,67.35
8,6.5,5.55,0.855,1,15,1.0,52,SJF,13.38,8.25,19.5,24.12
17,5.0,4.02,0.803,1,14,2.06,85,SJF,20.29,8.76,15.18,35.18
10,4.4,3.2,0.728,2,12,3.56,44,SJF,4.5,3.2,3.4,13.2
18,7.61,5.61,0.737,1,17,2.65,137,SJF,45.0,22.72,46.17,66.39
16,4.62,4.13,0.893,1,16,1.13,74,SJF,21.44,15.06,24.56,41.12
5,6.8,5.02,0.738,3,15,2.5,34,FCFS,4.2,4.2,4.2,11.8
13,6.08,4.39,0.722,2,14,2.0,79,SJF,26.54,14.77,26.31,43.0
29,5.45,4.6,0.845,1,16,4.36,158,SJF,28.41,13.9,20.69,65.62
13,4.23,3.65,0.864,1,14,1.58,55,SJF,17.23,7.62,14.62,30.15
8,4.75,4.37,0.919,1,12,2.14,38,SJF,11.75,6.62,12.62,19.62
21,4.1,3.55,0.866,1,14,1.55,86,SJF,33.52,12.33,25.33,51.43
16,5.0,3.58,0.716,2,13,1.6,80,SJF,20.81,12.38,21.19,47.62
